,County Code,District Code,School Code,School Name,Charter School,DASS,ChronicAbsenteeismRate
1980,37,73551.0,0127423,Sage Creek High,No ,No ,14.7
1981,37,73551.0,3730694,Carlsbad High,No ,No ,21.1
1982,37,73551.0,3731163,Carlsbad Seaside Academy,No ,No ,17.4
1987,37,73569.0,3735206,Oceanside High,No ,No ,36.0
1988,37,73569.0,3739018,El Camino High,No ,No ,24.2
1991,37,73791.0,0105726,Mission Hills High,No ,No ,13.2
1994,37,73791.0,3737632,San Marcos High,No ,No ,18.5
2002,37,75416.0,0139451,Pathways Academy Charter School - Adult Education,Yes,Yes,41.6
2003,37,75614.0,3731114,Valley Center High,No ,No ,24.9
2006,37,76471.0,0114678,High Tech High Chula Vista,Yes,No ,19.6
2007,37,76471.0,0114694,High Tech High North County,Yes,No ,13.7
2008,37,76471.0,0137067,High Tech High Mesa,Yes,No ,16.7
2009,37,76851.0,0129320,Bonsall High,No ,No ,34.5
2012,38,10389.0,3830361,S.F. County Court Woodside Learning Ctr,No ,Yes,0.0
2013,38,10389.0,3830395,S.F. County Opportunity (Hilltop),No ,Yes,99.0
2016,38,68478.0,0102103,Jordan (June) School for Equity,No ,No ,60.1
2017,38,68478.0,0107300,City Arts & Leadership Academy,Yes,No ,40.7
2018,38,68478.0,0119875,S.F. International High,No ,No ,45.4
2019,38,68478.0,0119958,Academy (The)- SF @McAteer,No ,No ,39.8
2020,38,68478.0,0127530,KIPP San Francisco College Preparatory,Yes,No ,35.7
2021,38,68478.0,3830197,Independence High,No ,No ,37.2
2022,38,68478.0,3830205,Wallenberg (Raoul) Traditional High,No ,No ,34.3
2023,38,68478.0,3830254,Burton (Phillip and Sala) Academic High,No ,No ,39.9
2024,38,68478.0,3830288,Balboa High,No ,No ,25.5
2025,38,68478.0,3830387,"Asawa (Ruth) SF Sch of the Arts, A Public School",No ,No ,15.2
2026,38,68478.0,3830403,Marshall (Thurgood) High,No ,No ,57.9
2027,38,68478.0,3830437,Gateway High,Yes,No ,18.2
2028,38,68478.0,3831765,Galileo High,No ,No ,27.8
2029,38,68478.0,3833241,Lincoln (Abraham) High,No ,No ,18.8
2030,38,68478.0,3833407,Lowell High,No ,No ,11.1
2031,38,68478.0,3834082,Mission High,No ,No ,46.8
2032,38,68478.0,3834769,O'Connell (John) High,No ,No ,58.0
2033,38,68478.0,3839081,Washington (George) High,No ,No ,21.6
2036,38,68478.0,3830031,Wells (Ida B.) High,No ,Yes,93.7
2037,38,68478.0,3830064,Downtown High,No ,Yes,88.0
2038,38,68478.0,3830429,Life Learning Academy Charter,Yes,Yes,80.7
2045,39,68502.0,3932308,Escalon High,No ,No ,16.4
2047,39,68569.0,3933801,Lincoln High,No ,No ,25.2
2049,39,68577.0,3933959,Linden High,No ,No ,15.3
2051,39,68585.0,0101956,Aspire Benjamin Holt College Preparatory Academy,Yes,No ,17.9
2053,39,68585.0,0108225,Ronald E. McNair High,No ,No ,31.5
2056,39,68585.0,3930237,Bear Creek High,No ,No ,29.2
2058,39,68585.0,3930443,Middle College High,No ,No ,5.0
2059,39,68585.0,3934759,Tokay High,No ,No ,20.6
2060,39,68585.0,3934783,Lodi High,No ,No ,22.5
2063,39,68593.0,0101576,Weston Ranch High,No ,No ,25.0
2064,39,68593.0,0116376,Lathrop High,No ,No ,19.7
2065,39,68593.0,3930310,Sierra High,No ,No ,12.3
2066,39,68593.0,3932001,East Union High,No ,No ,21.9
2067,39,68593.0,3935103,Manteca High,No ,No ,27.5
2074,39,68627.0,0136135,Delta Charter Online,Yes,No ,0.5
2076,39,68627.0,0133116,Insight @ San Joaquin,Yes,Yes,27.9
2079,39,68650.0,3935756,Ripon High,No ,No ,11.1
2081,39,68676.0,0108159,Cesar Chavez High,No ,No ,35.0
2082,39,68676.0,0115402,Edward C. Merlo Institute of Environmental Studies,No ,No ,17.0
2084,39,68676.0,0119743,Stockton Early College Academy,Yes,No ,7.3
2085,39,68676.0,0119784,Stockton High,No ,No ,96.9
2087,39,68676.0,0123802,Health Careers Academy,Yes,No ,19.5
2088,39,68676.0,0124248,Pacific Law Academy,Yes,No ,12.1
2090,39,68676.0,3930427,Weber Institute,No ,No ,11.4
2091,39,68676.0,3932100,Edison High,No ,No ,39.3
2093,39,68676.0,3937406,Stagg Senior High,No ,No ,42.5
2097,39,75499.0,0102392,Millennium Charter,Yes,No ,8.9
2098,39,75499.0,0119040,John C. Kimball High,No ,No ,14.6
2100,39,75499.0,3930302,Merrill F. West High,No ,No ,18.3
2101,39,75499.0,3938008,Tracy High,No ,No ,18.6
2104,39,76760.0,0128967,Mountain House High,No ,No ,9.0
2110,40,68700.0,4030102,Atascadero Choices in Education Academy (ACE),No ,No ,14.1
2111,40,68700.0,4030755,Atascadero High,No ,No ,49.6
2113,40,68759.0,0125328,Central Coast New Tech High,No ,No ,18.3
2115,40,68759.0,4030268,Nipomo High,No ,No ,22.5
2119,40,68809.0,4034807,Morro Bay High,No ,No ,23.7
2120,40,68809.0,4036703,San Luis Obispo High,No ,No ,21.0
2122,40,68833.0,4037008,Shandon High,No ,No ,22.1
2123,40,68841.0,4030185,Templeton Independent Study High,No ,No ,34.4
2124,40,68841.0,4037701,Templeton High,No ,No ,8.6
2126,40,75457.0,0119354,Independence High,No ,No ,35.0
2127,40,75457.0,4035754,Paso Robles High,No ,No ,19.8
2131,40,75465.0,4032009,Coast Union High,No ,No ,27.1
2133,41,10413.0,0135269,Oxford Day Academy,Yes,No ,3.5
2138,41,68890.0,4132817,Half Moon Bay High,No ,No ,19.8
2141,41,68924.0,0127548,Summit Public School: Shasta,Yes,No ,13.8
2142,41,68924.0,4133393,Jefferson High,No ,No ,32.7
2143,41,68924.0,4135075,Oceana High,No ,No ,9.8
2144,41,68924.0,4137535,Terra Nova High,No ,No ,12.0
2145,41,68924.0,4137790,Westmoor High,No ,No ,19.2
2146,41,68924.0,4137592,Thornton High,No ,Yes,63.3
2147,41,68940.0,4135331,Pescadero High,No ,No ,40.7
2149,41,69047.0,0129759,Design Tech High,Yes,No ,12.5
2151,41,69047.0,4130217,Aragon High,No ,No ,7.7
2152,41,69047.0,4130472,Burlingame High,No ,No ,8.9
2153,41,69047.0,4130738,Capuchino High,No ,No ,21.2
2154,41,69047.0,4133070,Hillsdale High,No ,No ,12.6
2155,41,69047.0,4134557,Mills High,No ,No ,8.2
2156,41,69047.0,4136370,San Mateo High,No ,No ,20.3
2158,41,69062.0,0112722,Summit Preparatory Charter High,Yes,No ,33.1
2160,41,69062.0,0126722,East Palo Alto Academy,Yes,No ,32.0
2161,41,69062.0,0138420,Tide Academy,No ,No ,21.4
2162,41,69062.0,0139915,KIPP Esperanza High,Yes,No ,37.3
2163,41,69062.0,4130993,Carlmont High,No ,No ,10.8
2164,41,69062.0,4133716,Menlo-Atherton High,No ,No ,17.6
2165,41,69062.0,4136693,Sequoia High,No ,No ,25.4
2166,41,69062.0,4138053,Woodside High,No ,No ,19.7
2168,41,69070.0,4132551,El Camino High,No ,No ,8.4
2169,41,69070.0,4137279,South San Francisco High,No ,No ,21.5
2179,42,69146.0,4230587,Carpinteria Senior High,No ,No ,22.5
2180,42,69229.0,4230454,Cabrillo High,No ,No ,25.7
2181,42,69229.0,4233060,Lompoc High,No ,No ,22.9
2185,42,69310.0,0102285,Pioneer Valley High,No ,No ,17.1
2186,42,69310.0,4234613,Ernest Righetti High,No ,No ,23.0
2187,42,69310.0,4236030,Santa Maria High,No ,No ,21.7
2189,42,69328.0,4236345,Santa Ynez Valley Union High,No ,No ,19.8
2192,42,75010.0,4231205,Cuyama Valley High,No ,No ,15.0
2194,42,76786.0,0120402,Alta Vista Alternative High,No ,No ,78.8
2195,42,76786.0,4231726,Dos Pueblos Senior High,No ,No ,17.2
2196,42,76786.0,4235230,San Marcos Senior High,No ,No ,19.5
2197,42,76786.0,4235727,Santa Barbara Senior High,No ,No ,25.4
2204,43,10439.0,0123794,Summit Public School: Tahoma,Yes,No ,21.7
2205,43,10439.0,0135087,Opportunity Youth Academy,Yes,Yes,76.5
2206,43,10439.0,4330254,Santa Clara County Court,No ,Yes,0.0
2209,43,69401.0,4330239,Leigh High,No ,No ,10.6
2210,43,69401.0,4330866,Branham High,No ,No ,10.1
2211,43,69401.0,4331955,Del Mar High,No ,No ,18.3
2212,43,69401.0,4336137,Prospect High,No ,No ,14.0
2213,43,69401.0,4338505,Westmont High,No ,No ,9.5
2215,43,69427.0,0116889,KIPP San Jose Collegiate,Yes,No ,6.3
2217,43,69427.0,0125617,ACE Charter High,Yes,No ,48.4
2218,43,69427.0,0130856,Luis Valdez Leadership Academy,Yes,No ,40.7
2219,43,69427.0,0131995,B. Roberto Cruz Leadership Academy,Yes,No ,39.2
2220,43,69427.0,0132274,Alpha Cindy Avitia High,Yes,No ,33.8
2221,43,69427.0,4330015,Yerba Buena High,No ,No ,18.9
2222,43,69427.0,4330023,Santa Teresa High,No ,No ,16.9
2223,43,69427.0,4330031,Independence High,No ,No ,20.7
2224,43,69427.0,4330668,Latino College Preparatory Academy,Yes,No ,22.0
2225,43,69427.0,4330692,Evergreen Valley High,No ,No ,10.2
2227,43,69427.0,4332995,Andrew P. Hill High,No ,No ,32.7
2228,43,69427.0,4333639,James Lick High,No ,No ,32.6
2229,43,69427.0,4334900,Mt. Pleasant High,No ,No ,25.5
2230,43,69427.0,4335204,Oak Grove High,No ,No ,27.3
2231,43,69427.0,4335428,William C. Overfelt High,No ,No ,32.9
2232,43,69427.0,4335907,Piedmont Hills High,No ,No ,10.6
2233,43,69427.0,4337903,Silver Creek High,No ,No ,12.7
2234,43,69427.0,0107151,"Escuela Popular/Center for Training and Careers, Family Learning",Yes,Yes,69.9
2240,43,69468.0,4331799,Cupertino High,No ,No ,7.1
2241,43,69468.0,4332474,Fremont High,No ,No ,20.2
2242,43,69468.0,4333316,Homestead High,No ,No ,11.9
2243,43,69468.0,4334421,Lynbrook High,No ,No ,7.1
2244,43,69468.0,4334462,Monta Vista High,No ,No ,7.1
2245,43,69468.0,4330569,Community Day,No ,Yes,*
2246,43,69484.0,0114496,Dr. TJ Owens Gilroy Early College Academy,No ,No ,3.3
2247,43,69484.0,0118380,Christopher High,No ,No ,19.1
2248,43,69484.0,4332839,Gilroy High,No ,No ,25.8
2250,43,69534.0,4334371,Los Gatos High,No ,No ,10.0
2251,43,69534.0,4337762,Saratoga High,No ,No ,8.9
2252,43,69583.0,0102368,Ann Sobrato High,No ,No ,18.9
2253,43,69583.0,4333951,Live Oak High,No ,No ,25.3
2255,43,69609.0,4334116,Los Altos High,No ,No ,10.6
2256,43,69609.0,4334728,Mountain View High,No ,No ,8.9
2258,43,69641.0,4332904,Henry M. Gunn High,No ,No ,13.2
2259,43,69641.0,4335782,Palo Alto High,No ,No ,14.1
2261,43,69666.0,4330080,Gunderson High,No ,No ,34.0
2264,43,69666.0,4333522,Leland High,No ,No ,15.7
2265,43,69666.0,4333795,Abraham Lincoln High,No ,No ,28.3
2266,43,69666.0,4335949,Pioneer High,No ,No ,20.8
2267,43,69666.0,4337200,San Jose High,No ,No ,41.0
2268,43,69666.0,4338950,Willow Glen High,No ,No ,30.5
2270,43,69674.0,0135970,Mission Early College High,No ,No ,10.9
2271,43,69674.0,4330122,Santa Clara High,No ,No ,13.1
2272,43,69674.0,4338802,Adrian Wilcox High,No ,No ,19.7
2274,43,69674.0,0141283,Kathleen MacDonald High,No ,Yes,12.1
2275,43,69674.0,4330247,Wilson Alternative,No ,Yes,58.0
2278,43,73387.0,4334470,Milpitas High,No ,No ,8.6
2279,43,73387.0,4331039,Calaveras Hills,No ,Yes,95.8
2280,43,77149.0,0137315,KIPP Navigate College Prep,Yes,No ,12.1
2283,44,10447.0,4430146,Santa Cruz County Court,No ,Yes,34.4
2286,44,69799.0,0105858,Pajaro Valley High,No ,No ,25.6
