,SchoolCode,TOTAL_EL
1155,4134557,53
1156,4135075,18
1157,4135331,27
1158,4136370,322
1159,4136693,357
1160,4137279,254
1161,4137535,24
1162,4137592,26
1163,4137790,252
1164,4138053,218
1165,4230454,43
1166,4230587,52
1167,4231205,3
1168,4231726,76
1169,4233060,155
1170,4234613,239
1171,4235230,144
1172,4235727,142
1173,4236030,675
1174,4236345,22
1175,4330015,409
1176,4330023,153
1177,4330031,495
1178,4330080,158
1179,4330122,197
1180,4330239,60
1181,4330247,28
1182,4330254,10
1183,4330668,134
1184,4330692,196
1185,4330866,101
1186,4331039,24
1187,4331799,143
1188,4331955,249
1189,4332474,405
1190,4332839,444
1191,4332904,93
1192,4332995,550
1193,4333316,250
1194,4333522,46
1195,4333639,279
1196,4333795,314
1197,4333951,170
1198,4334116,189
1199,4334371,38
1200,4334421,49
1201,4334462,82
1202,4334470,334
1203,4334728,124
1204,4334900,282
1205,4335204,371
1206,4335428,486
1207,4335782,37
1208,4335907,171
1209,4335949,123
1210,4336137,173
1211,4337200,303
1212,4337762,32
1213,4337903,280
1214,4338505,122
1215,4338802,232
1216,4338950,229
1217,4430096,9
1218,4430146,5
1219,4430211,7
1220,4430245,10
1221,4430518,71
1222,4432340,105
1223,4436754,11
1224,4437109,32
1225,4437406,55
1226,4437901,685
1227,4530028,13
1228,4530044,16
1229,4530051,2
1230,4530192,1
1231,4530200,2
1232,4530804,33
1233,4531901,5
1234,4532750,61
1235,4537304,17
1236,4731253,19
1237,4732707,1
1238,4733309,3
1239,4734356,1
1240,4735403,5
1241,4738753,15
1242,4739207,9
1243,4830071,1
1244,4830089,79
1245,4830113,1
1246,4830147,214
1247,4830170,39
1248,4830196,83
1249,4830451,255
1250,4831004,24
1251,4832259,150
1252,4833000,184
1253,4835302,37
1254,4837803,84
1255,4838801,25
1256,4930012,166
1257,4930111,1
1258,4930160,314
1259,4930228,150
1260,4930244,66
1261,4930384,6
1262,4930400,41
1263,4930855,72
1264,4932554,31
1265,4934154,165
1266,4935151,60
1267,4935292,274
1268,4935482,278
1269,4936803,147
1270,4937256,130
1271,5030010,172
1272,5030135,380
1273,5030168,13
1274,5030192,9
1275,5030259,96
1276,5030283,321
1277,5030879,303
1278,5031380,490
1279,5031521,58
1280,5031802,412
1281,5032651,59
1282,5034905,592
1283,5035654,97
1284,5035902,200
1285,5036256,444
1286,5036850,141
