,School Code,STU_TCH_RATIO
1286,0138263,9.2
1287,4930228,20
1288,4932554,17.1
1289,0107136,19.4
1290,0108076,23.5
1291,5030168,19.6
1292,5030879,22.6
1293,5031521,17.9
1294,0110593,23.2
1295,0121129,23
1296,5030010,21.7
1297,5030135,22.1
1298,5031380,21.5
1299,5031802,23.4
1300,5034905,21.8
1301,5036256,20.6
1302,5035902,20.4
1303,5032651,23.9
1304,5036850,19
1305,5030192,57
1306,5035654,21.6
1307,5030259,19.2
1308,5030283,22
1309,5037700,20.9
1310,0114207,7.6
1311,5132758,17.8
1312,5135256,19.5
1313,5137500,21.2
1314,0107722,20.5
1315,5139001,21.1
1316,0137414,19.3
1317,5231675,13.4
1318,5231709,18.1
1319,5235106,15.5
1320,5237151,11.3
1321,5237201,18.8
1322,0125633,14.5
1323,5330022,*
1324,5337407,16
1325,5337456,17.6
1326,0119602,24.8
1327,5430061,7.6
1328,5430301,13.6
1329,5433230,19.2
1330,0124776,24
1331,5432414,19.8
1332,0136507,25.1
1333,0107649,8.7
1334,0116368,21
1335,0130708,14.7
1336,5430145,9.3
1337,5435409,21.4
1338,5435466,22
1339,0109751,10.8
1340,0120659,15.4
1341,5430046,21.4
1342,5430368,21.2
1343,5432828,21
1344,5434527,23.4
1345,5430210,21.4
1346,0116590,24.8
1347,5430251,22.2
1348,5432786,20.8
1349,5434113,25
1350,5434931,13.7
1351,5431184,23.4
1352,5436282,19.6
1353,5431598,23.8
1354,5530043,21.7
1355,5536503,23.2
1356,5536750,22.7
1357,5530076,8.2
1358,5530084,5.1
1359,0109900,19.2
1360,5630223,5.6
1361,5632021,21.1
1362,5634076,18.1
1363,0120634,16.9
1364,0125674,19
1365,0131698,23.4
1366,0136804,31.3
1367,5630389,23
1368,5631619,24.1
1369,5631742,24
1370,5632849,20.7
1371,5634548,22.4
1372,5634761,22
1373,5630322,20
1374,5635008,21.7
1375,5636188,24.3
1376,5630298,30.5
1377,5630348,27.2
1378,5630793,22.1
1379,5637822,23.4
1380,5630116,23.6
1381,5633748,21.8
1382,5637004,20.7
1383,5630132,23.3
1384,5630371,31
1385,5633250,23.9
1386,5635776,18.9
1387,0113787,9.4
