,SchoolCode,Met UC/CSU Grad Req's (Rate),Dropout (Rate)
93641,0105734,85.5,0.3
93657,3330370,75.3,0.6
93690,3330636,31.1,0.0
93707,3330743,72.9,0.3
93753,0100420,63.4,0.4
93786,0118794,62.3,0.0
93820,3330529,64.9,0.6
93852,0109108,66.8,2.2
93887,0133306,71.9,1.6
93904,3330552,63.5,2.1
94083,0105916,68.1,3.0
94101,0108753,61.8,1.7
94118,0116897,66.3,2.4
94153,3430170,56.2,4.3
94224,3430477,43.1,7.6
94242,3430592,65.2,1.8
94260,3430618,51.2,2.2
94277,3430873,74.2,1.5
94311,3432572,50.1,8.9
94376,0113571,79.3,0.2
94456,3431533,24.2,6.4
94473,3433216,69.5,0.1
94490,3434792,0.0,40.5
94521,0119131,36.6,3.3
94556,3433471,42.7,2.0
94630,4835302,45.3,5.4
94682,0137950,0.0,33.1
94725,0101881,45.2,3.0
94743,0101899,23.9,0.0
94759,0101907,28.2,4.5
94776,0101972,50.6,9.7
94792,0102038,100.0,10.2
94807,0108951,69.2,0.0
94894,3430865,99.1,0.0
94912,3431012,49.9,6.2
94931,3434636,41.8,13.4
94949,3434768,45.8,5.1
94967,3435419,55.3,2.9
95029,0135772,16.0,9.7
95047,3430048,40.0,7.3
95082,3430386,12.7,6.5
95116,3430493,47.3,6.3
95187,3431111,62.9,1.2
95204,3432051,33.1,4.1
95221,3432317,52.5,1.1
95238,3432838,23.0,17.5
95256,3435930,49.9,9.2
95273,3436714,56.2,2.2
95291,3438504,31.5,15.2
95339,3430378,34.4,2.2
95385,0102236,63.7,1.6
95415,0112425,100.0,0.0
95448,3430584,46.7,2.0
95515,0101832,53.2,7.0
95599,0130757,1.5,97.2
95615,0139584,2.2,89.1
95686,3433265,54.9,4.2
95704,3433794,50.3,5.5
95723,3434370,54.7,5.1
95742,3436979,72.3,2.2
95765,3530045,*,*
95827,3530060,50.0,4.7
95878,0140012,47.0,6.5
96003,3630803,23.7,4.4
96019,3630290,0.0,8.3
96068,0126243,75.9,3.2
96086,3630225,73.5,3.9
96104,3630373,72.3,5.5
96122,3630571,75.8,4.8
96135,3630845,*,*
96153,3631058,77.8,2.6
96171,3631157,64.8,10.1
96190,3632205,53.1,12.3
96208,3633906,63.8,6.1
96225,3634482,61.6,5.3
96242,3637659,0.0,24.3
96274,3630035,50.5,0.3
96291,3630522,81.2,0.2
96309,3631017,66.6,0.5
96325,3631587,0.0,41.7
96359,3632502,50.6,2.8
96389,0125500,43.5,3.8
96423,3631322,41.8,3.4
96440,3632742,33.0,4.2
96502,0108191,65.3,1.1
96521,0120758,77.2,1.2
96573,3630555,56.7,1.5
96591,3630902,65.5,0.7
96608,3633302,78.4,3.3
96760,3638616,27.6,12.0
96789,3630266,*,*
96805,3634169,2.4,0.0
96980,0118802,56.8,1.8
