,School Code,SPED_ENR_N
942,3630076,8
943,3630274,40
944,3630233,380
945,0119115,312
946,3630407,322
947,3630746,278
948,0136432,579
949,3630563,48
950,3637584,386
951,3630423,292
952,3630894,302
953,0115998,22
954,0134890,614
955,3730447,21
956,3731478,121
957,0111195,175
958,0127241,82
959,3730058,284
960,3731023,58
961,3732062,336
962,3735313,301
963,3730967,6
964,3732179,302
965,0128793,68
966,0132548,35
967,3730066,219
968,3730702,257
969,3731262,235
970,3731486,34
971,3731692,281
972,3731809,403
973,3732336,384
974,3732625,383
975,3732732,307
976,3734548,353
977,3734761,354
978,3733219,22
979,0123224,55
980,3734878,81
981,0118935,298
982,3730074,236
983,3730819,326
984,3731528,184
985,3735867,364
986,3735974,239
987,0106732,66
988,0107078,74
989,0107086,42
990,0107094,50
991,0107102,55
992,0107177,195
993,0107219,241
994,0107482,23
995,0108787,91
996,0114025,328
997,0114462,95
998,0118315,3
999,0118851,58
1000,0122788,81
1001,0127647,84
1002,3730173,198
1003,3730181,271
1004,3730231,49
1005,3730314,175
1006,3730884,174
1007,3731213,152
1008,3731247,98
1009,3732781,268
1010,3732997,346
1011,3733508,160
1012,3733698,207
1013,3734431,159
1014,3734654,270
1015,3735750,249
1016,3737962,31
1017,0106328,111
1018,3730033,240
1019,3731007,262
1020,3737384,26
1021,3737418,242
1022,0125401,60
1023,0111831,286
1024,3730124,225
1025,3730405,270
1026,3730801,264
1027,3730843,309
1028,3731064,267
1029,3731304,6
1030,3731502,264
1031,3731627,309
1032,3732849,325
1033,3733953,209
1034,3738226,311
1035,3738234,283
1036,0114264,54
1037,0118430,136
1038,3730728,326
1039,3738705,355
1040,0127423,143
1041,3730694,381
1042,3731163,5
1043,3735206,333
1044,3739018,388
1045,0105726,367
1046,3737632,359
1047,0139451,52
1048,3731114,186
1049,0114678,105
1050,0114694,86
1051,0137067,84
1052,0129320,80
1053,3830361,4
1054,3830395,6
1055,0102103,59
1056,0107300,78
1057,0119875,13
1058,0119958,37
1059,0127530,43
1060,3830031,42
1061,3830064,42
1062,3830197,63
1063,3830205,120
1064,3830254,190
1065,3830288,201
1066,3830387,97
1067,3830403,61
1068,3830429,12
1069,3830437,82
1070,3831765,221
1071,3833241,282
1072,3833407,193
1073,3834082,223
1074,3834769,116
1075,3839081,292
1076,3932308,84
1077,3933801,313
1078,3933959,84
1079,0101956,45
1080,0108225,256
1081,3930237,280
1082,3930443,1
1083,3934759,279
1084,3934783,257
1085,0101576,161
1086,0116376,156
1087,3930310,143
1088,3932001,191
1089,3935103,284
1090,0133116,86
1091,0136135,40
1092,3935756,102
1093,0108159,266
1094,0115402,35
1095,0119784,9
1096,0123802,15
1097,0124248,7
1098,3930427,27
1099,3932100,328
1100,3937406,291
1101,0102392,27
1102,0119040,131
1103,3930302,277
1104,3938008,200
1105,0128967,123
1106,4030102,10
1107,4030755,183
1108,0125328,35
1109,4030268,132
1110,4034807,116
1111,4036703,216
1112,4037008,18
1113,4030185,7
1114,4037701,68
1115,0119354,21
1116,4035754,267
1117,4032009,21
1118,0135269,10
1119,4132817,139
1120,0127548,36
1121,4133393,102
1122,4135075,96
1123,4137535,115
1124,4137592,13
1125,4137790,93
1126,4135331,17
1127,0129759,77
1128,4130217,112
1129,4130472,210
1130,4130738,184
1131,4133070,213
1132,4134557,95
1133,4136370,169
1134,0112722,61
1135,0126722,46
1136,0138420,47
1137,0139915,41
1138,4130993,227
1139,4133716,286
1140,4136693,272
1141,4138053,275
1142,4132551,152
1143,4137279,182
1144,4230587,72
1145,4230454,180
1146,4233060,328
1147,0102285,382
1148,4234613,339
1149,4236030,435
1150,4236345,114
1151,4231205,12
1152,0120402,24
1153,4231726,225
1154,4235230,247
1155,4235727,287
1156,0123794,78
1157,0135087,65
1158,4330254,21
1159,4330239,187
1160,4330866,209
1161,4331955,193
1162,4336137,176
1163,4338505,202
1164,0107151,1
1165,0116889,49
1166,0125617,63
1167,0130856,37
1168,0131995,34
1169,0132274,70
1170,4330015,126
1171,4330023,237
1172,4330031,264
1173,4330668,53
1174,4330692,177
1175,4332995,210
1176,4333639,165
1177,4334900,173
1178,4335204,211
1179,4335428,231
1180,4335907,220
1181,4337903,194
1182,4330569,3
1183,4331799,160
1184,4332474,285
1185,4333316,209
1186,4334421,129
1187,4334462,97
1188,0114496,5
1189,0118380,220
1190,4332839,242
1191,4334371,224
1192,4337762,161
1193,0102368,152
1194,4333951,173
1195,4334116,215
1196,4334728,229
1197,4332904,129
1198,4335782,224
1199,4330080,155
1200,4333522,89
1201,4333795,187
1202,4335949,106
1203,4337200,146
1204,4338950,218
1205,0135970,4
1206,0141283,120
1207,4330122,227
1208,4330247,73
1209,4338802,212
1210,4331039,19
1211,4334470,267
1212,0137315,41
1213,4430146,4
1214,0105858,217
1215,4430245,11
1216,4430518,142
1217,4437901,337
1218,4436754,51
1219,4430096,7
1220,4430187,22
1221,4432340,135
1222,4437109,109
1223,4437406,123
1224,4430211,72
1225,4530150,12
1226,4530028,77
1227,4530051,17
1228,4530192,3
1229,4530804,109
1230,4530010,2
1231,4530044,140
1232,4530200,46
1233,4530267,33
1234,4530309,8
1235,4532750,175
1236,4537304,167
1237,4531901,99
1238,4732707,13
1239,4734356,6
1240,4734901,2
1241,4735403,16
1242,4738753,17
1243,4739207,53
1244,4731253,7
1245,4733309,15
1246,4830071,8
1247,4831004,166
1248,4832259,90
1249,4830170,203
1250,4830451,290
1251,4833000,256
1252,4838801,173
1253,0141150,1
1254,4830089,210
1255,4830113,47
1256,4837803,231
1257,0139816,21
1258,4830147,206
1259,4830196,42
1260,4930400,165
1261,4930855,49
1262,4930012,234
1263,4930111,6
1264,4935151,216
1265,4930160,211
1266,4930244,184
1267,4934154,244
1268,4935292,226
1269,4936803,269
1270,4937256,177
1271,0123786,46
1272,4930384,13
1273,4935482,276
1274,0138263,4
1275,4930228,229
1276,4932554,54
1277,0107136,6
1278,0108076,165
1279,5030168,2
1280,5030879,178
1281,5031521,46
1282,0110593,200
1283,0121129,243
1284,5030010,258
1285,5030135,308
1286,5031380,241
1287,5031802,286
1288,5034905,273
1289,5036256,312
1290,5035902,133
1291,5032651,64
1292,5036850,75
1293,5030192,4
1294,5035654,185
1295,5030259,110
1296,5030283,213
1297,5037700,349
1298,0114207,7
1299,5132758,27
1300,5135256,85
1301,5137500,55
1302,0107722,175
1303,5139001,199
1304,0137414,3
1305,5231675,9
1306,5231709,127
1307,5235106,30
1308,5237151,23
1309,5237201,245
1310,0125633,29
1311,5337407,17
1312,5337456,36
1313,0119602,12
1314,5430061,23
1315,5430301,8
1316,5433230,75
1317,0124776,3
1318,5432414,137
1319,0136507,135
1320,0107649,4
1321,0116368,144
1322,0130708,20
1323,5430145,7
1324,5435409,169
1325,5435466,165
1326,0109751,34
1327,0120659,28
1328,5430046,240
1329,5430368,256
1330,5432828,188
1331,5434527,210
1332,5430210,54
1333,0116590,7
1334,5430251,92
1335,5432786,172
1336,5434113,144
1337,5434931,36
1338,5431184,156
1339,5436282,53
1340,5431598,70
1341,5530043,9
1342,5536503,143
1343,5536750,45
1344,5530076,6
1345,5530084,3
1346,0109900,307
1347,5630223,16
1348,5632021,169
1349,5634076,80
1350,0120634,52
1351,0125674,29
1352,0131698,95
1353,0136804,2
1354,5630389,395
1355,5631619,275
1356,5631742,325
1357,5632849,270
1358,5634548,422
1359,5634761,273
1360,5630322,125
1361,5635008,266
1362,5636188,262
1363,5630298,6
1364,5630348,76
1365,5630793,288
1366,5637822,282
1367,5630116,173
1368,5633748,261
1369,5637004,289
1370,5630132,72
1371,5630371,6
1372,5633250,287
1373,5635776,240
1374,0113787,10
1375,5732904,36
1376,0135939,2
1377,5735154,217
1378,0101162,193
1379,5738802,169
1380,5830047,5
1381,5830013,179
1382,5835202,151
1383,5838305,140
