,School Code,Homeless Student Enrollment (Rate)
49858,0127381,0.0329512893982808
49859,0132324,0.026881720430107527
49878,1934470,0.11619433198380567
49882,1934678,0.08831794460056203
49894,1935758,0.03571428571428571
49900,1936947,0.07646914187361692
49904,1996503,0.06474820143884892
49905,0135525,0.08465608465608465
49920,1939875,0.07368718238283456
49923,0136119,0.041666666666666664
49927,0138669,0.075
49928,0140681,0.023305084745762712
49931,0134346,0.07534246575342465
49932,1995869,0.01443298969072165
49935,1933399,0.0035971223021582736
49947,0121939,0.0
49951,1935121,0.05102040816326531
49953,0126615,0.010121457489878543
49955,0126623,0.02159827213822894
49959,0118588,0.11002102312543798
49960,1931385,0.09803921568627451
49964,1933852,0.02047463936714751
49969,0121285,0.054474708171206226
49973,0108936,0.010719754977029096
49974,0111500,0.004210526315789474
49977,0108894,0.020766773162939296
49979,0117606,0.05405405405405406
49980,0111658,0.014084507042253521
49981,0124941,0.040257648953301126
49983,0116509,0.016494845360824743
49985,0111492,0.006514657980456026
49986,0117598,0.03125
49987,0124891,0.03546099290780142
49988,0123133,0.01090909090909091
49989,0123141,0.04040404040404041
50005,1930734,0.10852713178294573
50009,0111583,0.05448717948717949
50014,0106849,0.033707865168539325
50015,0111575,0.06525573192239859
50016,0102434,0.04952076677316294
50017,0106831,0.028985507246376812
50018,0111625,0.021352313167259787
50025,0112045,0.018281535648994516
50043,0126482,0.07357594936708861
50055,1930866,0.012037037037037037
50057,1930924,0.21879194630872484
50065,0132126,0.016194331983805668
50069,1931047,0.07221724858251269
50072,1932821,0.11864406779661017
50073,0129536,0.0436241610738255
50094,0109512,0.08558558558558559
50105,0127910,0.02819548872180451
50109,1931476,0.05514458641560188
50117,1931526,0.03139612558450234
50124,0101659,0.006535947712418301
50129,0100800,0.0496031746031746
50130,1930387,0.14527845036319612
50133,0124396,0.035555555555555556
50134,0124370,0.04126984126984127
50135,0124388,0.046460176991150445
50136,0124404,0.08092485549132948
50137,0108878,0.018947368421052633
50148,1931708,0.022896698615548456
50152,1931336,0.140625
50172,0131821,0.07228915662650602
50175,0124495,0.04220183486238532
50179,0117721,0.06496519721577726
50180,0112870,0.20612813370473537
50181,0127795,0.12694300518134716
50184,1932128,0.08748114630467571
50190,1931930,0.2912621359223301
50191,0120360,0.014634146341463415
50202,0124503,0.07806691449814127
50203,0115253,0.0
50208,0120808,0.08108108108108109
50210,1932888,0.004801920768307323
50215,0124479,0.08155699721964782
50217,0102921,0.0
50224,0127803,0.010869565217391304
50225,0122374,0.04699738903394256
50226,0112037,0.07119741100323625
50228,0135723,0.003766478342749529
50229,0132282,0.008955223880597015
50231,0135715,0.0038240917782026767
50232,0140129,0.0
50233,0125864,0.005703422053231939
50234,0117051,0.036013400335008376
50236,1932623,0.005633802816901409
50244,1931955,0.275
50250,0122382,0.026845637583892617
50262,0122341,0.018656716417910446
50267,1932342,0.10526315789473684
50272,1932920,0.024344569288389514
50274,0119966,0.07114624505928854
50297,1995448,0.01370757180156658
50301,0110668,0.10666666666666667
50308,1933241,0.05913978494623656
50318,1931518,0.136986301369863
50320,1939305,0.09330406147091108
50344,1931864,0.0330090340514246
50353,1930619,0.24193548387096775
50354,1930296,0.308
50363,0117069,0.06524466750313676
50365,1932250,0.07954545454545454
50369,0100677,0.0
50371,1931393,0.1276595744680851
50378,1934033,0.05320108205590622
50387,0122358,0.0589622641509434
50388,0127787,0.03715170278637771
50392,1934157,0.03613707165109034
50395,0101196,0.07917888563049853
50399,1931690,0.042682926829268296
50405,0141630,0.01282051282051282
50415,1931450,0.05309734513274336
50417,1933381,0.017810599478714162
50421,1935865,0.07996192289386006
50422,1932334,0.055900621118012424
50428,1933118,0.036381043561512685
50429,1939941,0.015337423312883436
50430,1932987,0.08202443280977312
50432,1931971,0.04093567251461988
50433,1935568,0.04034729315628192
50435,1930940,0.1103448275862069
50438,1934454,0.08936170212765958
50448,1933001,0.014347202295552367
50491,0126516,0.013477088948787063
50492,0126524,0.006309148264984227
50493,0126532,0.015254237288135594
50507,0117747,0.04246284501061571
50510,1935352,0.02181818181818182
50528,1935519,0.10572687224669604
50542,0126136,0.0017825311942959
50543,0122333,0.0037174721189591076
50544,0137562,0.1450381679389313
50548,0109462,0.03400735294117647
50555,0126573,0.052054794520547946
50561,0102913,0.010899182561307902
50566,1931484,0.3487179487179487
50567,1930486,0.22123893805309736
50572,1931989,0.0375
50577,1930791,0.1506849315068493
50585,1936160,0.04295942720763723
50586,0129585,0.061746987951807226
50596,0117911,0.0
50598,0111484,0.32867132867132864
50611,1936350,0.020558572536850273
50612,0107003,0.022556390977443608
50618,1931997,0.04790419161676647
50635,0106997,0.007564296520423601
50637,0101675,0.04044117647058824
50641,1931500,0.17796610169491525
50647,1995836,0.001016949152542373
50651,0112052,0.06680731364275667
50661,0124511,0.048327137546468404
50662,1930650,0.02706943899568458
50672,0107755,0.0020554984583761563
50677,0124487,0.026923076923076925
50681,0124933,0.0
50685,0122606,0.027837259100642397
50689,1930577,0.125
50694,0119727,0.03231292517006803
50696,1937085,0.13333333333333333
50711,0133868,0.010416666666666666
50719,1931435,0.2054794520547945
50735,1930551,0.16666666666666666
50740,1937622,0.08660508083140878
50745,1937838,0.023734177215189875
50748,0109447,0.07466196355085244
50753,0117762,0.0670391061452514
50754,0112029,0.14492753623188406
50756,0126540,0.0166358595194085
50771,1930973,0.11627906976744186
50775,0122366,0.045454545454545456
50780,0109454,0.019221528111484865
50782,1938307,0.030623608017817373
50792,0112508,0.01718213058419244
50794,0125989,0.009900990099009901
50799,1931559,0.04819277108433735
50806,1932383,0.049
50808,0130997,0.04225352112676056
50809,1938554,0.046012269938650305
50816,1938612,0.021692896639727774
50821,0129627,0.006787330316742082
50825,1937424,0.07403252944475602
50829,1934371,0.13258785942492013
50830,1930692,0.17647058823529413
50838,1996073,0.1125
50847,1933795,0.024466423737636647
50849,1938885,0.026404874746106973
50850,0137083,0.042735042735042736
50851,0137091,0.007462686567164179
50852,0132027,0.06333973128598848
50855,0124362,0.0136986301369863
50858,0137612,0.0
50862,0127894,0.0149812734082397
50869,1938968,0.031235431235431235
50873,1939040,0.03543469303667079
50874,1939107,0.03459372485921158
50879,1930429,0.24324324324324326
50894,0126557,0.04932735426008968
50898,0100750,0.0
50910,1939479,0.02996845425867508
50911,0114850,0.039651837524177946
50921,1931856,0.06666666666666667
50922,1930403,0.3148148148148148
50924,1931534,0.11392405063291139
50939,0135632,0.017064846416382253
50947,1939859,0.04535315985130112
50951,1995794,0.1111111111111111
50952,1931682,0.1
50967,1935436,0.07969924812030076
50968,0109538,0.10078387458006718
50983,1935808,0.021928166351606805
50992,1935923,0.04138851802403204
50998,0124552,0.022222222222222223
51001,1930825,0.021014161717679305
51015,1935998,0.016593460224499756
51021,1930155,0.01662921348314607
51062,1933647,0.1534446764091858
51065,1934728,0.11366181410974244
51072,1936467,0.18532280538783094
51094,0140889,0.026192703461178673
51115,1996552,0.0205026455026455
51117,1995588,0.01044138585666825
51139,0136705,0.02601156069364162
51140,1936749,0.01990599944705557
51155,1936103,0.03571428571428571
51166,1936822,0.026392961876832845
51182,1995901,0.10562075355157505
51186,1933175,0.18522267206477733
51187,1933324,0.16855270994639668
51204,1937028,0.1959890610756609
51212,1996495,0.19081272084805653
51228,1937143,0.004343468092215168
51244,1937564,0.17682926829268292
51246,1936228,0.33353474320241694
51262,1995810,0.020931802835921675
51273,1937754,0.005506607929515419
51281,1995737,0.012437810945273632
51285,1933373,0.0392156862745098
51288,1938000,0.015677491601343786
51313,1938455,0.006975269499048827
51340,1938679,0.0060373216245883645
51361,1936277,0.010515247108307046
51366,1938356,0.004489337822671156
51368,1938752,0.010616784630940344
51372,1939602,0.011904761904761904
51381,1932862,0.0007587253414264037
51392,1939149,0.0018198362147406734
51397,0122432,0.09126466753585398
51403,0137042,0.040145985401459854
51410,1939537,0.12295973884657237
51438,1931302,0.05859872611464968
51440,1934868,0.040749796251018745
51442,1936889,0.0724907063197026
51443,1937903,0.07652799178222908
51444,1995653,0.10954063604240283
51445,1939701,0.07060849598163031
51446,1996321,0.0
51449,1931492,0.08308895405669599
51451,0102459,0.087248322147651
51461,1931740,0.017126148705096073
51463,1995802,0.001271186440677966
51464,0102475,0.012479652740097666
51465,1933902,0.15915768854064644
51470,0131128,0.014336917562724014
51472,0119636,0.012797074954296161
51473,0119016,0.0054249547920434
53164,0125021,0.0056179775280898875
53165,0117010,0.010752688172043012
53166,0100180,0.047619047619047616
53176,2032357,0.019444444444444445
53179,0111443,0.0
53183,2030203,0.008620689655172414
53210,2035707,0.027122049221496736
53211,0110965,0.027335984095427434
53214,0139691,0.027378190255220418
53222,0118950,0.0
53231,2030104,0.09836065573770492
53232,2030237,0.0
53234,2030070,0.0
53237,2030013,0.030560271646859084
55317,2132272,0.03052866716306776
55322,2133056,0.011627906976744186
55352,2133262,0.176
55353,2134005,0.09811616954474098
55361,2134310,0.10077519379844961
55363,2131340,0.0017391304347826088
55366,2132587,0.003990877993158495
55368,2133692,0.003328894806924101
55369,2130078,0.0
55906,2230100,0.2
55908,2230076,0.3333333333333333
55911,2235356,0.07644628099173553
57883,2331361,0.04991394148020654
57891,2332260,0.2692307692307692
57893,2332724,0.07692307692307693
57895,2330207,0.0
57903,2333185,0.08333333333333333
57905,2333649,0.15328467153284672
57909,2330041,0.06896551724137931
57912,2330033,0.2777777777777778
57914,2334563,0.3816793893129771
57930,2335024,0.05783783783783784
57939,0136887,0.020618556701030927
57943,2335487,0.014084507042253521
60577,2430114,0.07275132275132275
60585,2431203,0.040995607613469986
60586,2430015,0.07216494845360824
60589,2431807,0.02022058823529412
60595,2432409,0.029045643153526972
60601,2433001,0.02131782945736434
60614,2434207,0.00794135613927917
60618,0120923,0.018929150892374257
60651,2430163,0.03470715835140998
60654,2430601,0.04337794185509922
60655,2430205,0.02820796460176991
60656,0127373,0.05399792315680166
60657,2430098,0.04343629343629344
60658,2430049,0.0594059405940594
60659,2433605,0.04832104832104832
60660,2435204,0.04536771728748806
61192,2535409,0.03937007874015748
61194,2530020,0.10526315789473684
61748,2633006,0.020833333333333332
