,School Code,Percent Eligible FRPM,School Type,Educational Option Type
2867,0137562,0.918918918918919,High Schools (Public),Traditional
2869,0137612,0.3166023166023166,High Schools (Public),Traditional
2879,0140129,0.6675126903553299,High Schools (Public),Traditional
2887,0141630,0.7837837837837838,Alternative Schools of Choice,Alternative School of Choice
2890,1930296,1.0,Continuation High Schools,Continuation School
2891,1930387,0.9338842975206612,Continuation High Schools,Continuation School
2892,1930403,1.0,Continuation High Schools,Continuation School
2893,1930429,0.95,Continuation High Schools,Continuation School
2894,1930486,1.0,Continuation High Schools,Continuation School
2895,1930551,0.9512195121951219,Continuation High Schools,Continuation School
2896,1930577,0.975,Continuation High Schools,Continuation School
2897,1930619,0.9705882352941176,Opportunity Schools,Opportunity School
2898,1930650,0.9145334434351775,High Schools (Public),Traditional
2899,1930692,0.9565217391304348,Alternative Schools of Choice,Alternative School of Choice
2900,1930734,0.8875,Continuation High Schools,Continuation School
2902,1930791,0.868421052631579,Continuation High Schools,Continuation School
2903,1930866,0.9137931034482759,High Schools (Public),Traditional
2904,1930924,0.9641693811074918,High Schools (Public),Traditional
2905,1930940,0.989010989010989,Continuation High Schools,Continuation School
2906,1930973,0.9775280898876404,Continuation High Schools,Continuation School
2907,1931047,0.9000632511068943,High Schools (Public),Traditional
2910,1931336,1.0,Continuation High Schools,Continuation School
2912,1931385,1.0,Continuation High Schools,Continuation School
2913,1931393,0.9818181818181818,Continuation High Schools,Continuation School
2914,1931435,0.972972972972973,Continuation High Schools,Continuation School
2915,1931450,0.9838709677419355,Continuation High Schools,Continuation School
2917,1931476,0.9236861051115911,High Schools (Public),Traditional
2918,1931484,0.9606299212598425,Continuation High Schools,Continuation School
2919,1931500,0.9493670886075949,Continuation High Schools,Continuation School
2920,1931518,0.9459459459459459,Continuation High Schools,Continuation School
2921,1931526,0.8770433546552949,High Schools (Public),Traditional
2922,1931534,0.9852941176470589,Continuation High Schools,Continuation School
2923,1931559,0.9428571428571428,Continuation High Schools,Continuation School
2925,1931682,0.987012987012987,Continuation High Schools,Continuation School
2926,1931690,0.9029126213592233,Continuation High Schools,Continuation School
2927,1931708,0.6890418818129661,High Schools (Public),Traditional
2929,1931856,0.9111111111111111,Continuation High Schools,Continuation School
2930,1931864,0.714968738506804,High Schools (Public),Traditional
2931,1931930,1.0,Continuation High Schools,Continuation School
2932,1931955,1.0,Continuation High Schools,Continuation School
2933,1931971,0.9655172413793104,Continuation High Schools,Continuation School
2934,1931989,0.9375,Continuation High Schools,Continuation School
2935,1931997,0.94,Continuation High Schools,Continuation School
2936,1932128,0.9065606361829026,Alternative Schools of Choice,Alternative School of Choice
2937,1932250,0.7727272727272727,Continuation High Schools,Continuation School
2939,1932334,0.8888888888888888,Continuation High Schools,Continuation School
2940,1932342,0.8955223880597015,Continuation High Schools,Continuation School
2941,1932383,0.9742086752637749,High Schools (Public),Traditional
2943,1932623,0.36835193696651347,High Schools (Public),Traditional
2944,1932821,0.9705882352941176,Continuation High Schools,Continuation School
2946,1932888,0.8144078144078144,Alternative Schools of Choice,Alternative School of Choice
2948,1932920,0.8735785953177257,High Schools (Public),Traditional
2949,1932987,0.9354990583804144,High Schools (Public),Traditional
2950,1933001,0.9022447501810282,Alternative Schools of Choice,Alternative School of Choice
2952,1933118,0.9745897300158815,High Schools (Public),Traditional
