,SchoolCode,College Going Rate - Total (12 Months)
1307,5432414,62.8
1308,0136507,41.7
1309,5435466,71.4
1310,0116368,64.8
1311,5435409,64.4
1312,5430145,54.5
1313,0130708,54.8
1314,0107649,*
1315,0120659,75.6
1316,5430046,72.2
1317,0109751,46.3
1318,5432828,67.8
1319,5434527,79.3
1320,5430368,81.5
1321,5430210,66.9
1322,5434113,55.0
1323,5430251,51.4
1324,5432786,57.2
1325,5434931,43.6
1326,0116590,71.2
1327,5431184,69.6
1328,5436282,67.8
1329,5431598,74.9
1330,5536503,69.2
1331,5530043,31.6
1332,5536750,52.0
1333,5530084,35.7
1334,5530076,*
1335,0109900,38.5
1336,5630223,58.3
1337,5632021,73.7
1338,5634076,80.8
1339,5634548,79.3
1340,5630389,68.6
1341,0131698,85.0
1342,0120634,67.2
1343,5631742,76.4
1344,5634761,79.2
1345,5632849,70.7
1346,5631619,82.6
1347,0136804,96.4
1348,0125674,46.7
1349,5636188,83.5
1350,5635008,74.9
1351,5630322,85.3
1352,5637822,79.7
1353,5630793,81.5
1354,5630298,87.3
1355,5630348,88.8
1356,5633748,78.4
1357,5630116,90.6
1358,5637004,82.3
1359,5630132,91.2
1360,5633250,78.1
1361,5630371,91.7
1362,5635776,77.0
