Name,Ranking,City,School District,Graduation Rate,College Readiness,Enrollment
Palos Verdes Peninsula High School,#34,Rolling Hills Estates,Palos Verdes Peninsula Unified School District,98%,71.2,2175
Del Norte High School,#35,San Diego,Poway Unified School District,97%,72.7,2564
Piedmont High School,#36,Piedmont,Piedmont City Unified School District,96%,75.8,730
Mt. Everest Academy,#37,San Diego,San Diego Unified School District,86%,70.7,113
Anderson W. Clark Magnet High School,#38,La Crescenta,Glendale Unified School District,99%,64.6,1139
San Marino High School,#39,San Marino,San Marino Unified School District,100%,63.1,837
Hawthorne Math and Science Academy,#40,Hawthorne,Hawthorne,98%,75.2,548
"Lennox Mathematics, Science and Technology Academy",#41,Lennox,Lennox Mathematics Science and Technology Academy District,99%,75.9,583
Westview High School,#42,San Diego,Poway Unified School District,98%,68.8,2186
South Pasadena Senior High School,#43,South Pasadena,South Pasadena Unified School District,96%,69.0,1494
Carlmont High School,#44,Belmont,Sequoia Union High,98%,63.4,2360
Stockton Unified Early College Academy,#45,Stockton,Stockton Unified School District,100%,65.7,424
Downtown Business High School,#46,Los Angeles,Los Angeles Unified School District,96%,71.0,857
Los Angeles Center for Enriched Studies,#47,Los Angeles,Los Angeles Unified School District,94%,77.2,816
Los Altos High School,#48,Los Altos,Mountain View-Los Altos Union High,96%,65.7,2114
Oak Park High School,#49,Oak Park,Oak Park Unified School District,98%,58.5,1410
Redwood High School,#50,Larkspur,Tamalpais Union High,98%,78.0,1785
Irvington High School,#51,Fremont,Fremont Unified School District,95%,68.5,2161
Aims College Prep High,#52,Oakland,American Indian Public High District,96%,59.2,368
University High School (Irvine),#53,Irvine,Irvine Unified School District,96%,66.8,2226
Portola High School,#54,Irvine,Irvine Unified School District,95%,70.4,2503
Evergreen Valley High School,#55,San Jose,East Side Union High School District,97%,66.5,2749
Diamond Bar High School,#56,Diamond Bar,Walnut Valley Unified School District,97%,68.7,2532
Foothill Technology High School,#57,Ventura,Ventura Unified School District,94%,63.1,962
Cerritos High School,#58,Cerritos,Abc Unified School District,97%,63.4,2083
Amador Valley High School,#59,Pleasanton,Pleasanton Unified School District,96%,67.9,2574
American High School,#60,Fremont,Fremont Unified School District,94%,63.3,2587
Mountain View High School,#61,Mountain View,Mountain View-Los Altos Union High,93%,62.9,2202
Palo Alto High School (Paly),#62,Palo Alto,Palo Alto Unified School District,98%,75.7,1932
La Quinta High School,#63,Westminster,Garden Grove Unified School District,95%,54.8,2065
Sage Creek High School,#64,Carlsbad,Carlsbad Unified School District,96%,63.8,1358
Homestead High School,#65,Cupertino,Fremont Union High,97%,67.2,2262
Northwood High School,#66,Irvine,Irvine Unified School District,98%,67.3,2310
Compton Early College High School,#67,Compton,Compton Unified School District,100%,58.3,560
Scripps Ranch High School,#68,San Diego,San Diego Unified School District,100%,62.0,1920
Chula Vista Learning Community Charter,#69,Chula Vista,Chula Vista Learning Community Charter District,98%,70.2,395
Francisco Bravo Medical Magnet High School,#70,Los Angeles,Los Angeles Unified School District,98%,53.0,1562
Sunny Hills High School,#71,Fullerton,Fullerton Joint Union High,98%,56.7,2434
Glen A. Wilson High School,#72,Hacienda Heights,Hacienda La Puente Unified School District,95%,55.6,1422
Redwood Academy of Ukiah,#73,Ukiah,Redwood Academy of Ukiah District,94%,57.4,70
KIPP King Collegiate High School,#74,San Lorenzo,KIPP King Collegiate High District,98%,62.7,690
Foothill High School,#75,Pleasanton,Pleasanton Unified School District,97%,61.4,2208
Albany High School,#76,Albany,Albany City Unified School District,95%,57.4,1117
Acalanes High School,#77,Lafayette,Acalanes Union High,96%,63.5,1250
Stockton Collegiate International Secondary,#78,Stockton,Stockton Collegiate International Secondary District,98%,80.3,228
Carmel High School,#79,Carmel,Carmel Unified School District,99%,75.1,799
Alliance Ted K. Tajima High School,#80,Los Angeles,Alliance Ted K. Tajima High District,99%,63.4,475
Dublin High School,#81,Dublin,Dublin Unified School District,98%,59.5,3224
International Studies Learning Center at Legacy High School,#82,South Gate,Los Angeles Unified School District,94%,64.9,452
Leigh High School,#83,San Jose,Campbell Union High,98%,63.3,1816
Woodbridge High School,#84,Irvine,Irvine Unified School District,94%,58.2,2224
Animo Inglewood Charter High School,#85,Inglewood,Animo Inglewood Charter High District,98%,64.4,610
Arcadia High School,#86,Arcadia,Arcadia Unified School District,98%,59.1,3004
Aragon High School,#87,San Mateo,San Mateo Union High,98%,58.9,1686
Umoja International Academy,#88,Sacramento,Sacramento City Unified School District,100%,53.8,182
Los Gatos High School,#89,Los Gatos,Los Gatos-Saratoga Joint Union High,97%,65.3,1977
KIPP San Jose Collegiate,#90,San Jose,KIPP San Jose Collegiate District,94%,65.3,501
Sherman Oaks Center for Enriched Studies,#91,Reseda,Los Angeles Unified School District,99%,60.1,906
Arnold O. Beckman High School,#92,Irvine,Tustin Unified School District,96%,60.3,2713
Monte Vista High School,#93,Danville,San Ramon Valley Unified School District,98%,60.3,2168
Orthopaedic Hospital,#94,Los Angeles,Los Angeles Unified School District,99%,51.9,679
Clovis North High School,#95,Fresno,Clovis Unified School District,95%,43.2,2400
Torrey Pines High School,#96,San Diego,San Dieguito Union High,97%,60.3,2644
Ruth Asawa San Francisco School of the Arts,#97,San Francisco,San Francisco Unified School District,98%,65.1,680
Alliance Marc and Eva Stern Math and Science,#98,Los Angeles,Alliance Marc & Eva Stern Math and Science District,98%,54.1,561
